date,open,high,low,close,volume,index_name
2023-12-01,20208.099609375,20459.69921875,20154.900390625,20452.900390625,227706700,TSX
2023-12-04,20407.0,20473.19921875,20341.400390625,20410.19921875,254110400,TSX
2023-12-05,20382.599609375,20453.69921875,20361.19921875,20375.900390625,235689300,TSX
2023-12-06,20392.69921875,20492.099609375,20271.599609375,20274.19921875,257432800,TSX
2023-12-07,20301.599609375,20315.80078125,20236.5,20278.5,241437600,TSX
2023-12-08,20271.599609375,20376.599609375,20265.80078125,20331.5,215407200,TSX
2023-12-11,20304.80078125,20319.5,20209.30078125,20318.400390625,255014500,TSX
2023-12-12,20308.0,20308.0,20162.099609375,20233.80078125,236956300,TSX
2023-12-13,20217.19921875,20629.69921875,20125.099609375,20629.5,253693200,TSX
2023-12-14,20682.099609375,20842.400390625,20682.099609375,20778.80078125,314329900,TSX
2023-12-15,20784.0,20784.0,20499.5,20529.19921875,584631200,TSX
2023-12-18,20543.80078125,20676.19921875,20543.80078125,20622.69921875,223826100,TSX
2023-12-19,20651.69921875,20848.80078125,20651.69921875,20839.599609375,207254000,TSX
2023-12-20,20821.0,20891.900390625,20598.599609375,20600.80078125,252490000,TSX
2023-12-21,20663.69921875,20810.0,20663.69921875,20765.69921875,219444700,TSX
2023-12-22,20796.900390625,20938.69921875,20796.900390625,20881.19921875,185515900,TSX
2023-12-27,20879.0,21091.099609375,20879.0,21015.900390625,154654900,TSX
2023-12-28,20976.0,21022.80078125,20914.5,20929.400390625,149852600,TSX
2023-12-29,20921.400390625,20965.900390625,20860.30078125,20958.400390625,135138200,TSX
2024-01-02,20904.30078125,20937.19921875,20823.599609375,20872.099609375,211253000,TSX
2024-01-03,20804.0,20892.099609375,20707.900390625,20818.599609375,191328700,TSX
2024-01-04,20820.5,20949.30078125,20793.599609375,20871.400390625,176417700,TSX
2024-01-05,20850.69921875,21014.80078125,20839.30078125,20937.599609375,167507900,TSX
2024-01-08,20917.30078125,21076.400390625,20875.19921875,21074.900390625,200466900,TSX
2024-01-09,21023.5,21023.5,20880.400390625,20971.0,194678700,TSX
2024-01-10,20965.0,21030.599609375,20965.0,20989.400390625,178595700,TSX
2024-01-11,20992.69921875,21023.400390625,20773.099609375,20918.400390625,195342900,TSX
2024-01-12,20965.69921875,21140.900390625,20957.19921875,20990.19921875,212930700,TSX
2024-01-15,20966.900390625,21073.599609375,20932.5,21061.900390625,83460200,TSX
2024-01-16,20998.69921875,21006.099609375,20843.0,20948.099609375,217215600,TSX
2024-01-17,20847.599609375,20847.599609375,20594.19921875,20695.0,211740300,TSX
2024-01-18,20725.900390625,20782.30078125,20659.0,20756.69921875,192480400,TSX
2024-01-19,20763.19921875,20909.099609375,20676.5,20906.5,208802400,TSX
2024-01-22,20930.900390625,20975.30078125,20847.099609375,20924.30078125,193396200,TSX
2024-01-23,20939.599609375,21042.900390625,20939.599609375,21034.599609375,173525000,TSX
2024-01-24,21083.599609375,21161.19921875,21019.400390625,21025.80078125,221079400,TSX
2024-01-25,21058.80078125,21120.69921875,21021.80078125,21101.5,177381800,TSX
2024-01-26,21085.0,21142.30078125,21079.900390625,21125.30078125,150909700,TSX
2024-01-29,21106.400390625,21213.0,21015.0,21200.099609375,188328800,TSX
2024-01-30,21187.900390625,21250.5,21104.0,21227.900390625,167593100,TSX
2024-01-31,21204.900390625,21250.900390625,21014.19921875,21021.900390625,222241000,TSX
2024-02-01,21065.5,21189.30078125,20980.900390625,21119.19921875,186251600,TSX
2024-02-02,21128.099609375,21128.099609375,20943.099609375,21085.099609375,181113800,TSX
2024-02-05,21053.5,21053.5,20825.599609375,20871.900390625,199398400,TSX
2024-02-06,20876.80078125,20978.900390625,20869.599609375,20957.69921875,151661400,TSX
2024-02-07,20961.599609375,20990.69921875,20900.900390625,20969.19921875,160630600,TSX
2024-02-08,20926.900390625,20989.80078125,20794.599609375,20919.599609375,195797300,TSX
2024-02-09,20942.5,21028.400390625,20891.099609375,21009.599609375,155281600,TSX
2024-02-12,21011.900390625,21145.80078125,21011.900390625,21067.30078125,188524700,TSX
2024-02-13,20861.5,20861.5,20466.5,20585.0,236175200,TSX
2024-02-14,20664.69921875,20890.099609375,20664.69921875,20889.400390625,199373100,TSX
2024-02-15,20919.900390625,21236.19921875,20919.900390625,21222.69921875,232048500,TSX
2024-02-16,21206.400390625,21324.0,21197.30078125,21255.599609375,195644300,TSX
2024-02-20,21216.19921875,21288.30078125,21183.5,21217.5,238684600,TSX
